y_gps_coords	x_gps_coords
40.73791707	-111.9245687
40.75855507	-111.8968966
40.7595417	-111.8940616
40.77648175	-111.9710639
40.74971974	-111.8911896
40.76073655	-111.8804348
40.74761731	-111.8853598
40.77946566	-111.8487261
40.74676204	-111.9233968
40.75506894	-111.8778152
40.73844894	-111.8996589
40.80185009	-111.9429443
40.74339915	-111.8976021
40.76507909	-111.8977469
40.75840249	-111.8721811
40.76491568	-111.8957425
40.78464533	-111.9254058
40.7296796	-111.8856588
40.76274707	-111.8696564
40.77648175	-111.9710639
40.78121234	-111.9808782
40.76172034	-111.8826098
40.79342711	-111.924966
40.74484649	-111.8997723
40.70254738	-111.8570998
40.7846586	-111.9411929
40.75745426	-111.9267624
40.77650775	-111.9714251
40.7646727	-111.9026432
40.76725507	-111.8872112
40.76823891	-111.8909893
40.74627944	-111.9140034
40.76379832	-111.9055006
40.73916015	-111.8710583
40.75855318	-111.8982682
40.73897646	-111.9011162
40.76463168	-111.9042024
40.73897646	-111.9011162
40.76407628	-111.9052821
40.7585508	-111.9030004
40.75779574	-111.8652259
40.77324162	-111.9510978
40.78818894	-111.918444
40.76290074	-111.90312
40.7551962	-111.8826055
40.76057251	-111.8716407
40.76491195	-111.9033124
40.76934974	-111.876057
40.77145602	-111.9141712
40.77279999	-111.9081501
40.74937605	-111.8938403
40.78246027	-111.9247277
40.76249908	-111.8768891
40.70006972	-111.8540898
40.75087729	-111.9307057
40.79120557	-111.8928766
40.76163847	-111.8883343
40.76382733	-111.8953571
40.75188077	-111.8661506
40.76343848	-111.9039859
40.72632248	-111.8668718
40.75855734	-111.8954059
40.74627944	-111.9140034
40.73844894	-111.8996589
40.76490997	-111.9046878
40.76891827	-111.8568344
40.77910262	-111.8942075
40.72533924	-111.8766256
40.75853142	-111.9279351
40.76802811	-111.8883383
40.76802811	-111.8883383
40.76543574	-111.9026405
40.75638172	-111.8943104
40.76802811	-111.8883383
40.76016043	-111.9026381
40.73555682	-111.832314
40.78136202	-111.894867
40.75853142	-111.9279351
40.75904497	-111.8823926
40.73991459	-111.9216942
40.79120557	-111.8928766
40.79878251	-111.9434228
40.76481831	-111.9042035
40.76481831	-111.9042035
40.75638043	-111.8955123
40.76241468	-111.8909847
40.76463168	-111.9042024
40.71116959	-111.8549735
40.76491141	-111.9058646
40.75652694	-111.9356467
40.76791974	-111.9042256
40.75855024	-111.9031628
40.76170026	-111.9183676
	
40.7636183	-111.893847
40.73438232	-111.8911772
40.76279948	-111.8883337
40.72865322	-111.8839356
40.78127999	-111.8955923
40.75839089	-111.8959319
40.72865322	-111.8839356
40.74631841	-111.9138484
40.72675305	-111.8337972
40.77374665	-111.9438732
40.77742471	-111.9409041
40.72109796	-111.8538492
40.73897646	-111.9011162
40.72109796	-111.8538492
40.77159654	-111.9470434
40.75623153	-111.8997778
40.74970697	-111.8652618
40.7636183	-111.893847
40.76271879	-111.9259544
40.78357208	-111.9138767
40.76506849	-111.9197745
40.76264178	-111.9042014
40.76290062	-111.9007448
40.73460178	-111.9267526
40.75855414	-111.8971709
40.76224047	-111.9208183
40.76407628	-111.9052821
40.75904497	-111.8823926
40.77577502	-111.9152734
40.77720703	-111.8947345
40.7605845	-111.8883355
40.7714572	-111.909124
40.77159728	-111.9482926
40.74083847	-111.8868515
40.77729996	-111.9270929
40.78896834	-111.8674735
40.76507909	-111.8977469
40.79107108	-111.9445967
40.77676596	-111.8928473
40.76571375	-111.8723764
40.76706216	-111.8940655
40.78950723	-111.9437053
40.78960546	-111.8664766
40.74036185	-111.9375207
40.7618462	-111.8852564
40.77179661	-112.0155822
40.75774364	-111.9391269
40.77275778	-111.8856576
40.76926783	-111.8610132
40.78988943	-111.864297
40.74974959	-111.8854694
40.73897646	-111.9011162
40.76823382	-111.9391477
40.73897646	-111.9011162
40.74334696	-111.8894027
40.77728878	-111.8997898
40.75623153	-111.8997778
40.73897646	-111.9011162
40.73897646	-111.9011162
40.7308677	-111.9647586
40.76725436	-111.8899223
40.71220314	-111.8634628
40.75638043	-111.8955123
40.78136202	-111.894867
40.77142177	-111.95753
40.78466995	-111.9138762
40.76507541	-111.9036672
40.73900291	-111.8883206
40.74487551	-111.9159545
40.77162045	-111.9126811
40.75203432	-111.8859623
40.78498099	-111.9167379
40.73712826	-111.8883207
40.75621409	-111.9000629
40.77590774	-111.8925859
40.77162748	-111.8970668
40.77648175	-111.9710639
40.73905282	-111.8641185
40.75343755	-111.8823863
40.73552456	-111.8636486
40.7307526	-111.8597156
40.78560044	-111.9796924
40.75343755	-111.8823863
40.78623255	-111.9167384
40.75855503	-111.8977196
40.76407628	-111.9052821
40.76407628	-111.9052821
40.78121234	-111.9808782
40.78599902	-111.9808904
40.76474495	-111.9039865
40.78560044	-111.9796924
40.76497305	-111.9055004
40.76689467	-111.8997828
40.73897646	-111.9011162
40.7682513	-111.9083611
40.77429205	-111.8923094
40.77648175	-111.9710639
40.7865388	-111.9440867
40.75192902	-111.8700307
40.72190477	-111.8584314
40.7916434	-111.9390931
40.76497975	-111.9169402
40.76508349	-111.8890363
40.73277586	-111.8881011
40.73900291	-111.8883206
40.74682174	-111.8654412
40.78560044	-111.9796924
40.75111281	-111.8840659
40.77162748	-111.8970668
40.73897646	-111.9011162
40.78284663	-111.9839338
40.76170686	-111.905499
40.73000032	-111.8997645
40.76497305	-111.9055004
40.78591143	-111.9167364
40.75309166	-111.931622
40.76942754	-111.8925846
40.76274985	-111.905498
40.76481831	-111.9042035
40.75928562	-111.90242
40.76481831	-111.9042035
40.72898647	-111.8802032
40.73137489	-111.9550778
40.76715415	-111.9041741
40.76481831	-111.9042035
40.76418503	-111.9039868
40.75301809	-111.8881118
40.76380495	-111.9208172
40.77161877	-111.9147209
40.79120557	-111.8928766
40.74153806	-111.8819044
40.76481831	-111.9042035
40.78462822	-111.9375673
40.71183635	-111.8710537
40.73480763	-111.9267539
40.77429205	-111.8923094
40.76418503	-111.9039868
40.74726322	-111.8911899
40.77143165	-111.9485406
40.76823891	-111.8909893
40.77648175	-111.9710639
40.76926067	-111.8997606
40.72651344	-111.8681247
40.75855734	-111.8954059
40.72227139	-111.8720738
40.76551346	-111.9039874
40.76942679	-111.8969023
40.79167567	-111.9173893
40.76171068	-111.8995646
40.73345976	-111.854
40.7411328	-111.8883219
40.74202908	-111.8911851
40.74169151	-111.8944634
40.74726322	-111.8911899
40.76200213	-111.9026382
40.75499858	-111.8826044
40.75638043	-111.8955123
40.76407628	-111.9052821
40.76407628	-111.9052821
40.76438452	-111.9026415
40.7559853	-111.9366395
40.76208878	-111.8940619
40.76170506	-111.8881181
40.77159736	-111.9482709
40.77142849	-111.9529523
40.75637395	-111.8782736
40.78113172	-111.9116268
40.76418503	-111.9039868
40.73296479	-111.8823687
40.76418503	-111.9039868
40.76823891	-111.8909893
40.74202908	-111.8911851
