Lat	Long
44.973419	-93.229927
44.961609	-93.25145
44.967461	-93.279083
44.951698	-93.25972
44.999142	-93.291054
44.962688	-93.26767
44.948769	-93.281853
44.95834	-93.288948
44.982029	-93.272987
45.01403	-93.247704
44.958038	-93.301453
44.944462	-93.250343
44.974751	-93.275017
44.93412	-93.230843
44.948441	-93.31739
45.03339	-93.308517
44.957722	-93.268791
44.980091	-93.270859
44.96888	-93.26255
44.983711	-93.27211
44.951939	-93.294434
44.947708	-93.230469
44.976639	-93.276947
44.982681	-93.271606
44.956108	-93.299759
44.998421	-93.250183
44.954041	-93.29805
44.917782	-93.32618
44.913422	-93.282318
44.993488	-93.312431
44.932259	-93.22673
44.98452	-93.295662
44.966789	-93.28183
44.94836	-93.288094
44.981041	-93.237167
44.983608	-93.271957
45.013168	-93.242241
45.011902	-93.31041
44.96117	-93.288429
44.981781	-93.27243
44.972641	-93.248894
44.990719	-93.216698
44.950539	-93.214371
44.95911	-93.27961
44.915691	-93.277618
44.981178	-93.236877
44.965778	-93.274384
44.96537	-93.237968
44.94836	-93.23819
44.969959	-93.25589
45.007629	-93.249428
45.024471	-93.228432
45.021671	-93.308662
44.935768	-93.287811
45.002609	-93.22998
44.97477	-93.261307
44.975609	-93.273872
44.929909	-93.218231
44.936272	-93.275703
44.955391	-93.233543
45.013168	-93.24733
44.994961	-93.306061
45.014671	-93.24765
44.967251	-93.247658
44.948521	-93.264793
45.012348	-93.303551
44.903671	-93.230118
45.01688	-93.284523
44.994701	-93.293694
44.979408	-93.271751
44.972599	-93.281059
44.978191	-93.27977
45.0224	-93.30793
44.913422	-93.282318
44.943539	-93.265579
45.004391	-93.228127
44.972431	-93.284447
44.98764	-93.255432
44.917061	-93.227997
45.01252	-93.284119
44.916752	-93.213081
44.976681	-93.272926
44.968349	-93.268127
45.0299	-93.246323
45.030331	-93.243782
45.002029	-93.2985
44.977379	-93.273087
44.972099	-93.262398
44.984749	-93.275887
45.005001	-93.284721
45.01247	-93.303551
44.956459	-93.235153
44.936581	-93.277527
44.987652	-93.229378
45.023682	-93.27224
44.97155	-93.274277
45.002609	-93.22998
44.99025	-93.29277
44.983131	-93.233131
44.962662	-93.247337
44.967331	-93.240829
44.90134	-93.318459
44.96719	-93.218079
45.045929	-93.311447
44.945042	-93.250351
44.966331	-93.247261
44.97155	-93.274277
44.953751	-93.28933
44.917858	-93.222954
44.987171	-93.228851
44.951351	-93.298073
44.951511	-93.235672
45.014469	-93.311691
44.999001	-93.312958
44.987389	-93.271599
44.981621	-93.27375
44.948139	-93.269913
44.972542	-93.276703
45.025242	-93.269943
44.977219	-93.230133
45.04829	-93.287292
44.946709	-93.240242
44.973789	-93.316841
44.976681	-93.272926
45.033649	-93.252647
44.975529	-93.27282
44.948502	-93.238701
44.958389	-93.240784
44.962719	-93.256813
44.990391	-93.29763
44.97958	-93.272568
44.971111	-93.258629
45.012791	-93.26059
44.975498	-93.271011
44.9781	-93.257858
44.978321	-93.276077
44.954578	-93.261307
45.031921	-93.267693
44.919399	-93.214249
45.020561	-93.290192
45.029301	-93.243233
44.948372	-93.234283
45.01585	-93.302811
44.983799	-93.305428
44.999142	-93.291054
44.949348	-93.236366
44.94701	-93.271927
44.974751	-93.275017
44.930279	-93.264091
44.981239	-93.246689
44.92321	-93.284416
45.00103	-93.28994
44.993069	-93.306961
44.973309	-93.22506
44.975849	-93.272903
44.99086	-93.217422
45.009521	-93.289261
44.994942	-93.252617
44.962959	-93.287682
44.953892	-93.287857
44.948132	-93.290451
44.954189	-93.257141
44.971371	-93.267128
44.938202	-93.287781
44.915359	-93.316681
44.9884	-93.271729
44.979881	-93.301422
44.9884	-93.271729
44.9884	-93.271729
44.987968	-93.256378
44.959911	-93.280823
44.937962	-93.269814
44.963009	-93.27565
44.9175	-93.26281
44.95105	-93.234917
44.99971	-93.291862
45.014519	-93.247704
44.976681	-93.272926
44.927361	-93.227402
44.972099	-93.262398
44.964691	-93.256371
44.9711	-93.271927
45.007629	-93.264931
44.955528	-93.257523
44.927429	-93.241348
44.992229	-93.308861
44.980141	-93.272781
44.986591	-93.31501
44.961182	-93.280807
45.011452	-93.315903
45.012348	-93.303551
44.949581	-93.298683
44.973148	-93.267418
44.927078	-93.330742
44.959141	-93.251129
44.947929	-93.231979
44.937618	-93.265488
44.951511	-93.235672
44.954288	-93.311981
44.95195	-93.256287
45.01918	-93.302269
44.999699	-93.301628
44.906528	-93.250633
45.01918	-93.302269
45.03014	-93.245773
45.006828	-93.290512
44.969841	-93.277809
44.946369	-93.270653
44.963188	-93.246483
45.03083	-93.247017
44.995369	-93.266403
45.009151	-93.295387
44.974751	-93.275017
45.015961	-93.316238
44.980499	-93.27327
44.970741	-93.280128
44.97366	-93.230301
44.960609	-93.281769
44.910069	-93.291733
44.948132	-93.272041
44.917011	-93.26281
44.979961	-93.272614
44.951511	-93.235672
44.990009	-93.296097
44.988392	-93.272652
44.959259	-93.288437
44.9627	-93.210022
44.984379	-93.294083
44.90683	-93.21814
44.940231	-93.321274
44.960918	-93.258011
44.96637	-93.233963
44.950039	-93.28936
44.986252	-93.313728
44.978802	-93.273643
44.949459	-93.233856
45.004532	-93.261276
44.90601	-93.203438
44.959911	-93.280823
44.98061	-93.270149
44.993801	-93.250198
45.021622	-93.305382
44.899078	-93.288467
44.962528	-93.2686
44.977619	-93.273117
44.97578	-93.277962
44.987228	-93.25267
45.00539	-93.307114
44.95747	-93.325302
44.92651	-93.268509
44.928791	-93.2827
44.990471	-93.229202
44.978199	-93.279762
44.948349	-93.269028
44.952271	-93.264481
44.959129	-93.252373
45.038609	-93.31134
44.981289	-93.272018
44.998211	-93.220398
44.948921	-93.271942
44.95216	-93.28849
44.928902	-93.283493
44.976318	-93.270889
44.949329	-93.222023
44.97015	-93.211357
44.98893	-93.253189
45.020309	-93.28804
44.976898	-93.27224
44.97657	-93.271103
44.97958	-93.276093
44.977982	-93.274788
44.983341	-93.22963
44.948372	-93.257591
44.968651	-93.277893
44.94931	-93.279129
45.03484	-93.25827
44.977089	-93.27446
44.949348	-93.236366
44.974751	-93.275017
44.94836	-93.284302
44.974751	-93.275017
44.972401	-93.274109
44.96962	-93.27961
44.967369	-93.278252
