Latitude	Longitude
41.88067917	-87.72946033
41.88322739	-87.73711139
41.84716441	-87.71364871
41.69113332	-87.6836282
41.87858255	-87.74639702
41.88360497	-87.70750184
41.89781945	-87.71395263
41.85600872	-87.64558908
41.92799852	-87.67320816
41.84634587	-87.70442248
41.90937534	-87.76597913
41.89394444	-87.76209757
41.77920033	-87.68786923
41.83594706	-87.73404599
41.75652925	-87.56389946
41.68282852	-87.64489941
41.75664045	-87.66359084
41.70715463	-87.62419739
41.77494685	-87.60656514
41.89877135	-87.70781292
41.73575689	-87.60332131
41.88506488	-87.71356905
41.69299237	-87.63515417
41.89011713	-87.64515722
41.82945069	-87.67526
41.87879882	-87.73144991
41.85605158	-87.62821881
41.97852489	-87.83658904
41.95608128	-87.72768654
41.95608128	-87.72768654
41.77934155	-87.67216489
41.72916228	-87.56214527
41.88041839	-87.72321652
41.74253872	-87.65352517
41.92111744	-87.76588247
41.78315717	-87.6609977
41.88375352	-87.62623239
41.84491178	-87.65032856
41.90650727	-87.76702211
41.7690705	-87.62666845
41.84557767	-87.62747503
41.75721134	-87.5633049
41.90450514	-87.64059087
41.87782218	-87.65518141
41.75459296	-87.74152854
41.75459296	-87.74152854
41.88784585	-87.62456034
41.92367262	-87.78630161
41.71831893	-87.57525608
41.96542582	-87.6551393
41.93698613	-87.64429705
41.96914132	-87.65094465
41.80048316	-87.58741453
41.91871165	-87.76551063
41.75152734	-87.58229024
41.91159074	-87.73531182
41.79155592	-87.63408195
41.88375352	-87.62623239
41.72101961	-87.61899001
41.88018642	-87.76853246
41.73627743	-87.62510451
41.87782218	-87.65518141
41.73627743	-87.62510451
41.89169066	-87.62636155
41.80048316	-87.58741453
41.96704069	-87.71821353
41.92361344	-87.79351167
41.89876792	-87.62411633
41.90316144	-87.71886746
41.78080364	-87.70230985
41.89182683	-87.71308499
41.91870866	-87.64368168
41.77333213	-87.71362303
41.88519172	-87.62448685
41.98427785	-87.67101243
41.70061469	-87.64263712
41.86709969	-87.72357447
41.88544654	-87.70201933
41.89789513	-87.62409661
41.96731629	-87.71333137
41.78995655	-87.6547662
41.77267834	-87.69200383
41.78240862	-87.66063887
41.86032013	-87.71768091
41.86866942	-87.74301085
41.9312879	-87.76539911
41.90325602	-87.71910532
41.99778841	-87.68657001
41.96867455	-87.7686193
41.86883505	-87.74106713
41.85033611	-87.72689024
41.8996101	-87.71523197
41.85279319	-87.71625185
41.83107329	-87.62021144
41.8628591	-87.62405075
41.87732994	-87.70518365
41.74134098	-87.59038584
41.80685685	-87.60431563
41.76378835	-87.68933595
41.96071719	-87.74797123
41.79808659	-87.58855721
41.83763426	-87.72559001
41.88809286	-87.75534813
41.76053253	-87.65157229
41.76415488	-87.64924303
41.76415488	-87.64924303
41.78382548	-87.64731801
41.73279434	-87.66298132
41.77979388	-87.63182661
41.78771301	-87.64255004
41.7820814	-87.61519616
41.80612057	-87.66368462
41.73993912	-87.58791775
41.86243578	-87.71204386
41.69473282	-87.53769867
41.81335527	-87.68583902
41.71975824	-87.57337473
41.81722704	-87.6374309
41.93059018	-87.71838378
41.89491667	-87.75730673
41.91739557	-87.72656807
41.72883584	-87.60463426
41.75427226	-87.71911687
41.75217043	-87.61373758
41.88315693	-87.76822354
41.75653027	-87.59074578
41.88065818	-87.73121214
41.71125951	-87.55175283
41.91300968	-87.8059052
41.90258249	-87.73184005
41.74224248	-87.71781714
41.88035077	-87.75687206
41.85841316	-87.72494547
41.87565385	-87.7377546
41.86132029	-87.70423906
41.89171014	-87.64584162
41.80169033	-87.70379207
41.67071554	-87.62422412
41.9121496	-87.736181
41.92137026	-87.76097849
41.81224459	-87.60443062
41.74984828	-87.63185591
41.93132286	-87.66109774
41.97855782	-87.83658879
41.68931221	-87.65905045
41.935181	-87.80664874
41.82828767	-87.64767274
41.76497458	-87.65931449
41.75089655	-87.62781331
41.73589781	-87.63844147
41.87566422	-87.74509084
41.94958197	-87.72749441
41.89537651	-87.63268615
41.77325985	-87.59377891
41.72062218	-87.66044484
41.93121916	-87.77038673
41.90356391	-87.72747047
42.00711743	-87.67000658
41.83131833	-87.67409238
41.81161481	-87.66749365
41.79718181	-87.70285334
41.90703235	-87.69697955
42.00838635	-87.70332564
41.90844492	-87.75223662
41.79436349	-87.72319356
41.73611947	-87.72754459
41.75626913	-87.58097786
41.79599755	-87.64843142
41.84807397	-87.71032202
41.68079054	-87.62520076
41.79355733	-87.62081814
41.8277901	-87.70209813
41.81075315	-87.74813541
41.89492967	-87.62515784
41.77757204	-87.61074067
41.65837467	-87.64644072
41.96649437	-87.72125236
41.89795922	-87.66309332
41.87989984	-87.68322514
41.89843848	-87.76966461
41.86181052	-87.71772902
41.87756511	-87.68479102
41.79249052	-87.61916511
41.97551745	-87.72956922
41.65182203	-87.61647285
41.7621603	-87.69908009
41.8020648	-87.61864069
41.83941298	-87.63900344
41.77542973	-87.64075349
41.66688601	-87.62225684
41.81817554	-87.63455183
41.6522159	-87.61890546
42.00188387	-87.69609416
41.70846348	-87.62594823
	
41.86789576	-87.64221251
41.85882915	-87.72784519
41.87352154	-87.71848318
41.9142041	-87.63349062
41.65460923	-87.6075573
41.9180403	-87.72291341
41.91879793	-87.67765705
41.92729	-87.72684915
41.9121496	-87.736181
41.93281253	-87.64435667
41.87889125	-87.7239985
41.97852489	-87.83658904
41.89660508	-87.66241328
41.7214209	-87.64654992
41.82454542	-87.69794377
41.82194984	-87.70451819
41.85837645	-87.71396997
41.75420459	-87.64933404
41.77310456	-87.67373566
41.90468813	-87.6427232
41.74970811	-87.6682767
41.75379463	-87.61982879
41.72220624	-87.66148328
41.75463564	-87.55088962
41.75468643	-87.55472984
41.88048626	-87.72566518
41.76404225	-87.66743959
41.78496959	-87.72782562
41.76033184	-87.60978323
41.91708522	-87.64845726
41.86221827	-87.63908716
42.00595102	-87.66102276
41.91142356	-87.69804912
41.78258242	-87.70489931
41.92977684	-87.65254035
41.81219013	-87.70733913
41.77073998	-87.74037204
41.80017952	-87.70252689
41.88309007	-87.68008974
41.77129623	-87.72914931
41.71424746	-87.61516064
41.83660077	-87.61677038
41.99123349	-87.69212098
41.90926237	-87.65276939
41.85102174	-87.61895485
41.82121883	-87.6184791
41.95056922	-87.75558179
41.77071568	-87.57397595
41.73721166	-87.63878271
41.90924637	-87.77606844
41.98806324	-87.66836161
41.9085179	-87.68536686
41.94702474	-87.74820311
41.91696854	-87.67879641
41.95080841	-87.70548839
41.77861932	-87.68362582
41.86548698	-87.72271237
41.97119141	-87.7293453
41.89748585	-87.76791357
41.76927362	-87.68581328
41.99553705	-87.67622617
41.865425	-87.62139377
41.77314553	-87.68090958
41.90252292	-87.63140683
41.90438611	-87.67973678
41.87856281	-87.74790639
41.90364414	-87.69073896
41.89702232	-87.73703819
41.77611101	-87.59974763
41.77339263	-87.67133515
41.79874193	-87.62580711
41.96815412	-87.73574282
41.77689887	-87.67979367
41.90080658	-87.62451253
41.84845848	-87.68169375
41.7799602	-87.63209978
41.79978346	-87.74906042
41.97107634	-87.71955002
41.77714211	-87.64714727
41.90177403	-87.70941457
41.7838609	-87.67160147
41.71184357	-87.64660793
41.79450951	-87.63330174
41.74614086	-87.65240616
41.77261505	-87.5740232
41.70835566	-87.6307397
41.79255369	-87.59486631
41.77954239	-87.73377584
41.97445955	-87.78221545
41.67716593	-87.61909813
