Lat	Lon
40.02682	-75.117264
	
39.991927	-75.124514
	
	
39.992766	-75.145048
39.965327	-75.229988
39.981977	-75.158942
	
	
	
	
40.028815	-75.084194
	
	
	
39.969734	-75.157592
	
	
	
40.123861	-75.024616
	
	
40.039892	-75.118672
	
	
	
	
	
39.883546	-75.232354
	
39.946859	-75.230014
	
40.055618	-75.129205
	
	
40.038788	-75.225142
39.952058	-75.160656
	
39.915764	-75.24249
40.078631	-74.998227
40.039016	-75.146614
40.023928	-75.115867
	
	
39.964133	-75.240363
	
39.972632	-75.129309
40.026637	-75.114476
39.924899	-75.169698
39.986397	-75.180237
40.025573	-75.117214
40.005307	-75.109446
	
	
40.029741	-75.122665
	
39.928643	-75.229904
	
40.010315	-75.159226
	
	
	
39.983441	-75.24328
	
39.948162	-75.221237
	
39.999322	-75.110615
	
39.969998	-75.205288
	
	
39.924247	-75.230489
	
	
	
	
	
39.922519	-75.162024
40.042668	-75.012759
	
40.012068	-75.155497
39.98226	-75.22876
	
39.989825	-75.185667
40.066444	-75.174188
	
	
	
39.986238	-75.156234
39.970482	-75.141314
40.032301	-75.14795
	
40.028863	-75.092433
39.916758	-75.163244
39.921265	-75.170262
	
39.952058	-75.160656
	
	
	
	
40.04185	-75.18867
40.061227	-75.083621
40.01548	-75.170657
	
	
	
39.921038	-75.159611
	
	
40.052113	-75.188014
40.028763	-75.165549
	
40.005567	-75.103332
	
	
39.984113	-75.156682
39.962244	-75.224347
	
	
	
40.037918	-75.110674
39.999836	-75.100716
	
39.986536	-75.15477
	
40.01208	-75.112391
40.035592	-75.082255
40.031257	-75.091506
	
40.075214	-75.087129
39.969633	-75.140783
	
	
39.919319	-75.23031
	
	
39.978799	-75.118596
39.962228	-75.233259
40.048777	-75.052959
40.059217	-75.051505
39.927197	-75.143739
	
40.006264	-75.103193
	
	
39.991744	-75.124549
	
	
40.060319	-75.166883
39.980591	-75.172567
39.921393	-75.146105
39.957828	-75.160274
39.918435	-75.184619
	
40.009068	-75.112869
	
	
40.00755	-75.108846
	
40.055096	-75.004388
	
	
	
	
	
39.995551	-75.166634
	
39.929864	-75.173522
	
39.952238	-75.170281
	
40.071548	-75.157682
	
	
39.996257	-75.139346
39.952507	-75.148172
	
	
	
	
39.883546	-75.232354
	
39.948238	-75.143267
39.991454	-75.091662
39.949868	-75.16809
40.038065	-75.044853
39.915513	-75.168149
	
	
40.023094	-75.076588
40.021479	-75.051804
39.971584	-75.225815
40.012113	-75.079253
	
	
39.948512	-75.207338
39.958197	-75.223285
	
40.039539	-75.117206
40.005801	-75.097015
	
39.967995	-75.139875
39.935632	-75.167128
	
40.017131	-75.075094
	
